FID,osmid,y,x,highway,street_cou,ref
2525,337495817.000000000000000,39.869056499999999,116.305862000000005, ,3.000000000000000, 
2526,337499620.000000000000000,39.863285400000002,116.307021100000000, ,3.000000000000000, 
2527,337499621.000000000000000,39.862847400000000,116.306950200000003,motorway_junction,3.000000000000000,31
2528,337500492.000000000000000,39.866266600000003,116.303388900000002, ,3.000000000000000, 
2529,337500526.000000000000000,39.865906099999997,116.302235300000007, ,3.000000000000000, 
2530,337504292.000000000000000,39.865682300000003,116.302316000000005, ,3.000000000000000, 
2531,337508811.000000000000000,39.865038200000001,116.288337100000007,traffic_signals,4.000000000000000, 
2532,337508813.000000000000000,39.864584800000003,116.281169000000006, ,3.000000000000000, 
2533,337508816.000000000000000,39.864528300000003,116.280146700000003, ,3.000000000000000, 
2534,337508826.000000000000000,39.866486500000001,116.276845300000005, ,3.000000000000000, 
2535,337509659.000000000000000,39.863811800000001,116.280186099999995, ,3.000000000000000, 
2536,338223302.000000000000000,40.009186100000001,116.476359599999995, ,4.000000000000000, 
2537,338234154.000000000000000,39.911239500000001,116.584579599999998,traffic_signals,4.000000000000000, 
2538,338234535.000000000000000,39.914551699999997,116.563612199999994,traffic_signals,4.000000000000000, 
2539,338234538.000000000000000,39.913682000000001,116.571116500000002,traffic_signals,4.000000000000000, 
2540,338237513.000000000000000,39.909017800000001,116.483817500000001, ,3.000000000000000, 
2541,339088848.000000000000000,39.946946199999999,116.410272899999995, ,3.000000000000000, 
2542,339283129.000000000000000,39.897341300000001,116.378021000000004, ,3.000000000000000, 
2543,339283504.000000000000000,39.894497500000000,116.389808900000006, ,1.000000000000000, 
2544,339290737.000000000000000,39.899731000000003,116.377918800000003, ,3.000000000000000, 
2545,339290738.000000000000000,39.899468499999998,116.372106099999996, ,3.000000000000000, 
2546,339362417.000000000000000,40.034077900000000,116.338637899999995, ,3.000000000000000, 
2547,339362424.000000000000000,40.034344500000003,116.343905300000003,traffic_signals,4.000000000000000, 
2548,339578715.000000000000000,40.037334600000001,116.356328000000005,traffic_signals,5.000000000000000, 
2549,339578716.000000000000000,40.039307100000002,116.363732200000001,traffic_signals,4.000000000000000, 
2550,339578781.000000000000000,40.028250800000002,116.343383299999999, ,3.000000000000000, 
2551,339578794.000000000000000,40.032875599999997,116.365589499999999,traffic_signals,4.000000000000000, 
2552,339578831.000000000000000,40.029127799999998,116.351770299999998,traffic_signals,5.000000000000000, 
2553,339578848.000000000000000,40.038672300000002,116.338410100000004,traffic_signals,3.000000000000000, 
2554,339578850.000000000000000,40.038772500000000,116.341882699999999, ,3.000000000000000, 
2555,339578851.000000000000000,40.038607499999998,116.342950500000001,traffic_signals,4.000000000000000, 
2556,339578856.000000000000000,40.038967800000002,116.347914299999999, ,3.000000000000000, 
2557,339578858.000000000000000,40.035531599999999,116.348623599999996,traffic_signals,5.000000000000000, 
2558,339581054.000000000000000,39.995311200000003,116.367830100000006, ,3.000000000000000, 
2559,339581063.000000000000000,40.011869099999998,116.355866100000000, ,3.000000000000000, 
2560,339581067.000000000000000,40.016071199999999,116.352251600000002, ,3.000000000000000, 
2561,339581080.000000000000000,40.024037800000002,116.346584899999996, ,3.000000000000000, 
2562,339581654.000000000000000,40.031669000000001,116.340272799999994, ,3.000000000000000, 
2563,339581656.000000000000000,40.030724900000003,116.340925799999994, ,3.000000000000000, 
2564,339581667.000000000000000,40.032007900000004,116.345067900000004, ,4.000000000000000, 
2565,339581668.000000000000000,40.033491900000001,116.349542700000001, ,3.000000000000000, 
2566,339581671.000000000000000,40.026248799999998,116.347065099999995, ,3.000000000000000, 
2567,339581672.000000000000000,40.025959200000003,116.344684999999998, ,3.000000000000000, 
2568,339581686.000000000000000,40.028000300000002,116.360554100000002, ,3.000000000000000, 
2569,339581689.000000000000000,40.030119900000003,116.371561200000002, ,3.000000000000000, 
2570,339581690.000000000000000,40.030514199999999,116.371387600000006, ,3.000000000000000, 
2571,339581693.000000000000000,40.028109800000003,116.342977300000001,traffic_signals,4.000000000000000, 
2572,339582572.000000000000000,40.049745199999997,116.326668999999995, ,3.000000000000000, 
2573,340056192.000000000000000,39.955647999999997,116.303298299999994,traffic_signals,4.000000000000000, 
2574,340056195.000000000000000,39.955482400000001,116.317124100000001,traffic_signals,5.000000000000000, 
2575,340056559.000000000000000,39.945251800000001,116.318521399999995,traffic_signals,4.000000000000000, 
2576,340056738.000000000000000,39.944282500000000,116.307116699999995, ,3.000000000000000, 
2577,340057113.000000000000000,39.950355999999999,116.310995399999996, ,4.000000000000000, 
2578,340057248.000000000000000,39.952486299999997,116.303142199999996,traffic_signals,4.000000000000000, 
2579,340057250.000000000000000,39.951788600000000,116.294701500000002, ,2.000000000000000, 
2580,340060303.000000000000000,39.942013699999997,116.300529200000000, ,4.000000000000000, 
2581,340060497.000000000000000,39.932116000000001,116.296100499999994, ,3.000000000000000, 
2582,340060781.000000000000000,39.934861699999999,116.297665400000000, ,3.000000000000000, 
2583,340061667.000000000000000,39.938492500000002,116.343883599999998, ,3.000000000000000, 
2584,340062137.000000000000000,39.937733600000001,116.313603700000002, ,3.000000000000000, 
2585,340063067.000000000000000,39.934271500000001,116.402493000000007,traffic_signals,3.000000000000000, 
2586,340064895.000000000000000,39.937807100000001,116.402343200000004, ,3.000000000000000, 
